Date,Symbol,Price,% change,Roc 10days,Rsi 14,Sma 8,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
9th Sep'26 3:29:00,TIIL,3170.2,,-6.39,56.03,3218.82,RSI 5 SWING TRADE STRATEGY,0.93,-3.39,68.51,,,,,
9th Sep'26 3:29:00,AKUMS,741.1,,-3.26,50.25,763.08,RSI 5 SWING TRADE STRATEGY,0.611,-4.58,67.64,,,,,
9th Sep'26 3:29:00,TITAN,5005.0,,-1.86,50.81,5032.55,RSI 5 SWING TRADE STRATEGY,0.361,-1.91,65.79,,,,,
9th Sep'26 3:29:00,MMFL,616.95,,-1.84,49.79,634.8,RSI 5 SWING TRADE STRATEGY,0.179,-5.1,66.03,,,,,
9th Sep'26 3:29:00,INDNIPPON,,,,,,Turtle strategy,,,,smallcap,17.02,73.67,69.24,auto
9th Sep'26 3:29:00,WABAG,,,,,,Turtle strategy,,,,midcap,6.1,60.73,69.48,realty
9th Sep'26 3:29:00,ALIVUS,,,,,,Turtle strategy,,,,midcap,2.05,58.97,72.57,healthcare
9th Sep'26 3:29:00,PANACHE,,,,,,Turtle strategy,,,,smallcap,1.82,58.58,68.39,i.t
9th Sep'26 3:29:00,CUPID,,,,,,Turtle strategy,,,,largecap,1.78,57.59,92.72,fmcg
9th Sep'26 3:29:00,MEDANTA,,,,,,Turtle strategy,,,,largecap,3.63,57.35,64.61,healthcare
9th Sep'26 3:29:00,KPIL,,,,,,Turtle strategy,,,,largecap,0.787,57.34,61.28,realty
9th Sep'26 3:29:00,PANAMAPET,,,,,,Turtle strategy,,,,smallcap,3.16,56.99,69.36,energy
9th Sep'26 3:29:00,JSWINFRA,,,,,,Turtle strategy,,,,largecap,2.83,56.55,64.05,transportation
9th Sep'26 3:29:00,LALPATHLAB,,,,,,Turtle strategy,,,,largecap,0.377,56.1,67.54,healthcare
9th Sep'26 3:29:00,TIIL,,,,,,Turtle strategy,,,,midcap,0.93,56.03,61.18,metals & mining
9th Sep'26 3:29:00,AEGISLOG,,,,,,Turtle strategy,,,,largecap,5.94,55.78,75.76,services
9th Sep'26 3:29:00,QUESS,,,,,,Turtle strategy,,,,midcap,5.19,55.31,61.83,miscellaneous
9th Sep'26 3:29:00,BLUSPRING,,,,,,Turtle strategy,,,,smallcap,5.59,55.12,70.35,miscellaneous
9th Sep'26 3:29:00,ASKAUTOLTD,,,,,,Turtle strategy,,,,midcap,2.8,55.01,67.18,auto
